_id,Year,County Name,Race/Ethnicity,No Early Prenatal Care,Births,SUIDS,Infant Dealths Counts,Preterm Birth,Female Population Age 15-44
318,2014,Tippecanoe,All,724,2340,Suppressed,21,217,44252
319,2015,Clay,All,123,346,Suppressed,Suppressed,38,4825
320,2015,Hamilton,All,579,3902,Suppressed,21,350,62420
321,2015,Newton,All,57,171,Suppressed,Suppressed,15,2310
322,2015,Wabash,All,116,338,Suppressed,Suppressed,28,5682
323,2016,Dubois,All,109,564,Suppressed,6,64,7326
324,2016,Miami,All,106,343,Suppressed,Suppressed,24,5855
325,2016,Monroe,All,278,1302,Suppressed,10,107,38997
326,2016,Pike,All,21,145,Suppressed,Suppressed,20,2015
327,2016,St. Joseph,All,1178,3573,Suppressed,26,383,54614
328,2016,Whitley,All,99,405,Suppressed,Suppressed,41,5713
329,2017,Dearborn,All,117,478,Suppressed,Suppressed,40,8625
330,2017,De Kalb,All,194,510,Suppressed,Suppressed,43,7800
331,2017,Montgomery,All,111,452,Suppressed,Suppressed,44,6559
332,2017,Posey,All,54,255,Suppressed,Suppressed,26,4341
333,2017,Putnam,All,75,367,Suppressed,Suppressed,37,7003
334,2017,St. Joseph,All,1235,3495,11,36,368,54872
335,2017,Sullivan,All,64,216,Suppressed,Suppressed,14,3316
336,2018,Fulton,All,84,245,Suppressed,Suppressed,20,3392
337,2018,Greene,All,86,371,Suppressed,Suppressed,49,5273
338,2018,Posey,All,47,289,Suppressed,Suppressed,24,4265
339,2019,Fountain,All,48,184,Suppressed,Suppressed,18,2738
340,2019,Hamilton,All,569,3682,Suppressed,19,322,67618
341,2019,Howard,All,285,991,Suppressed,7,90,14675
342,2019,Jackson,All,245,626,Suppressed,Suppressed,84,7998
343,2019,Perry,All,53,180,Suppressed,Suppressed,28,2899
344,2019,Posey,All,46,257,Suppressed,Suppressed,37,4254
345,2014,Gibson,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,103
346,2014,Miami,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,88
347,2014,Ripley,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,20
348,2014,Spencer,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,21
349,2015,Carroll,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,13
350,2015,Gibson,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,102
351,2015,Jefferson,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,202
352,2015,Perry,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,14
353,2015,St. Joseph,Non-Hispanic Black,310,687,Suppressed,Suppressed,84,7791
354,2015,Tipton,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,10
355,2015,Union,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,11
356,2016,Delaware,Non-Hispanic Black,35,112,Suppressed,Suppressed,13,1940
357,2016,Floyd,Non-Hispanic Black,25,74,Suppressed,Suppressed,Suppressed,871
358,2016,Hamilton,Non-Hispanic Black,50,145,Suppressed,Suppressed,17,2770
359,2016,Orange,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,35
360,2016,Posey,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,47
361,2016,Pulaski,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,14
362,2016,Sullivan,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,13
363,2016,Tipton,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,9
364,2017,Huntington,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,104
365,2017,Johnson,Non-Hispanic Black,25,54,Suppressed,Suppressed,Suppressed,727
366,2017,Lagrange,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,29
367,2017,LaPorte,Non-Hispanic Black,113,188,Suppressed,Suppressed,30,2032
368,2017,Monroe,Non-Hispanic Black,26,63,Suppressed,Suppressed,Suppressed,1665
369,2017,Parke,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,239
370,2017,Warren,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,7
371,2017,Warrick,Non-Hispanic Black,Suppressed,16,Suppressed,Suppressed,Suppressed,170
372,2018,Blackford,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,9
373,2018,Cass,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,79
374,2018,Fountain,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,17
375,2018,Knox,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,270
376,2018,Switzerland,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,10
377,2018,Tipton,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,11
378,2018,Vigo,Non-Hispanic Black,40,100,Suppressed,Suppressed,Suppressed,1567
379,2018,Whitley,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,23
380,2019,Carroll,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,25
381,2019,Dubois,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,58
382,2019,Hamilton,Non-Hispanic Black,60,206,Suppressed,Suppressed,30,3281
383,2019,Johnson,Non-Hispanic Black,16,75,Suppressed,Suppressed,Suppressed,898
384,2019,Knox,Non-Hispanic Black,Suppressed,11,Suppressed,Suppressed,Suppressed,244
385,2019,Union,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,11
386,2019,Vermillion,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,15
387,2014,Carroll,Hispanic,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,168
388,2014,Clay,Hispanic,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,77
389,2014,Crawford,Hispanic,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,38
390,2014,Fountain,Hispanic,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,90
391,2014,Jefferson,Hispanic,Suppressed,11,Suppressed,Suppressed,Suppressed,204
392,2014,Lawrence,Hispanic,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,169
393,2014,Madison,Hispanic,Suppressed,73,Suppressed,Suppressed,Suppressed,977
394,2014,Perry,Hispanic,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,48
395,2014,Porter,Hispanic,49,152,Suppressed,Suppressed,19,3805
396,2014,Tippecanoe,Hispanic,109,246,Suppressed,Suppressed,Suppressed,3564
397,2015,Bartholomew,Hispanic,47,87,Suppressed,Suppressed,Suppressed,1055
398,2015,Clark,Hispanic,71,135,Suppressed,Suppressed,Suppressed,1263
399,2015,Fayette,Hispanic,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,39
400,2015,Whitley,Hispanic,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,179
401,2016,Floyd,Hispanic,Suppressed,31,Suppressed,Suppressed,Suppressed,553
402,2016,Hendricks,Hispanic,24,71,Suppressed,Suppressed,Suppressed,1427
403,2016,Huntington,Hispanic,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,186
404,2016,Jefferson,Hispanic,Suppressed,21,Suppressed,Suppressed,Suppressed,201
405,2016,Noble,Hispanic,31,90,Suppressed,Suppressed,Suppressed,1107
406,2016,Putnam,Hispanic,Suppressed,10,Suppressed,Suppressed,Suppressed,144
407,2016,Warren,Hispanic,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,29
408,2017,Blackford,Hispanic,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,43
409,2017,Jennings,Hispanic,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,135
410,2017,Madison,Hispanic,Suppressed,83,Suppressed,Suppressed,Suppressed,1086
411,2017,Perry,Hispanic,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,61
412,2017,Wayne,Hispanic,Suppressed,28,Suppressed,Suppressed,Suppressed,396
413,2018,Adams,Hispanic,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,330
414,2018,Hancock,Hispanic,Suppressed,16,Suppressed,Suppressed,Suppressed,454
415,2018,Newton,Hispanic,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,187
416,2018,Vermillion,Hispanic,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,49
417,2019,De Kalb,Hispanic,Suppressed,13,Suppressed,Suppressed,Suppressed,312
418,2019,Fayette,Hispanic,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,87
419,2019,Gibson,Hispanic,Suppressed,11,Suppressed,Suppressed,Suppressed,115
420,2019,Greene,Hispanic,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,123
421,2019,Hancock,Hispanic,Suppressed,28,Suppressed,Suppressed,Suppressed,494
422,2019,Marshall,Hispanic,37,92,Suppressed,Suppressed,13,1102
423,2019,Newton,Hispanic,Suppressed,24,Suppressed,Suppressed,Suppressed,198
424,2019,Parke,Hispanic,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,70
425,2019,Ripley,Hispanic,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,104
426,2019,Warrick,Hispanic,Suppressed,10,Suppressed,Suppressed,Suppressed,283
427,2019,Whitley,Hispanic,Suppressed,12,Suppressed,Suppressed,Suppressed,182
428,2014,Cass,Non-Hispanic White,100,367,Suppressed,Suppressed,42,5350
429,2014,De Kalb,Non-Hispanic White,193,543,Suppressed,Suppressed,Suppressed,7378
430,2014,Gibson,Non-Hispanic White,78,415,Suppressed,Suppressed,Suppressed,5689
431,2014,Greene,Non-Hispanic White,Suppressed,338,Suppressed,Suppressed,Suppressed,5340
432,2014,Ohio,Non-Hispanic White,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,935
433,2014,Tippecanoe,Non-Hispanic White,446,1692,Suppressed,16,162,33517
434,2014,Washington,Non-Hispanic White,Suppressed,304,Suppressed,Suppressed,27,4802
435,2014,Whitley,Non-Hispanic White,Suppressed,401,Suppressed,Suppressed,Suppressed,5491
436,2015,Clinton,Non-Hispanic White,89,342,Suppressed,Suppressed,36,4600
437,2015,Daviess,Non-Hispanic White,169,467,Suppressed,Suppressed,36,5357
438,2015,Fayette,Non-Hispanic White,Suppressed,241,Suppressed,6,Suppressed,3888
439,2015,Jackson,Non-Hispanic White,94,486,Suppressed,Suppressed,42,7184
440,2015,Jay,Non-Hispanic White,113,291,Suppressed,Suppressed,Suppressed,3550
441,2015,Madison,Non-Hispanic White,294,1277,Suppressed,Suppressed,132,19894
442,2015,Posey,Non-Hispanic White,53,272,Suppressed,Suppressed,Suppressed,4183
443,2015,Tipton,Non-Hispanic White,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,2370
444,2016,Daviess,Non-Hispanic White,181,475,Suppressed,Suppressed,56,5337
445,2016,Elkhart,Non-Hispanic White,764,2215,Suppressed,17,204,27971
446,2016,Fulton,Non-Hispanic White,96,220,Suppressed,Suppressed,Suppressed,3098
447,2016,Johnson,Non-Hispanic White,343,1653,Suppressed,Suppressed,144,26474
448,2016,Miami,Non-Hispanic White,95,319,Suppressed,Suppressed,24,5343
449,2016,Ripley,Non-Hispanic White,70,336,Suppressed,Suppressed,Suppressed,4809
450,2016,Switzerland,Non-Hispanic White,45,Suppressed,Suppressed,Suppressed,11,1673
451,2016,Washington,Non-Hispanic White,Suppressed,317,Suppressed,Suppressed,Suppressed,4717
452,2017,Benton,Non-Hispanic White,28,100,Suppressed,Suppressed,Suppressed,1326
453,2017,Blackford,Non-Hispanic White,Suppressed,Suppressed,Suppressed,Suppressed,16,1834
454,2017,Crawford,Non-Hispanic White,Suppressed,Suppressed,Suppressed,Suppressed,11,1650
455,2017,Elkhart,Non-Hispanic White,735,2093,Suppressed,16,188,27754
456,2017,Greene,Non-Hispanic White,Suppressed,344,Suppressed,Suppressed,40,5096
457,2017,Marion,Non-Hispanic White,1676,6511,Suppressed,31,637,108427
458,2017,Martin,Non-Hispanic White,25,Suppressed,Suppressed,Suppressed,17,1567
459,2017,Owen,Non-Hispanic White,44,200,Suppressed,Suppressed,14,3252
460,2017,Steuben,Non-Hispanic White,109,327,Suppressed,Suppressed,36,5199
461,2017,Warren,Non-Hispanic White,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,1245
462,2018,Decatur,Non-Hispanic White,Suppressed,319,Suppressed,Suppressed,Suppressed,4605
463,2018,Madison,Non-Hispanic White,281,1166,Suppressed,Suppressed,121,19386
464,2018,Marshall,Non-Hispanic White,169,451,Suppressed,Suppressed,48,6669
465,2018,Owen,Non-Hispanic White,Suppressed,235,Suppressed,Suppressed,26,3246
466,2018,Vigo,Non-Hispanic White,255,992,Suppressed,Suppressed,125,17962
467,2018,Warren,Non-Hispanic White,Suppressed,68,Suppressed,Suppressed,Suppressed,1270
468,2019,Cass,Non-Hispanic White,75,296,Suppressed,Suppressed,25,4808
469,2019,Clinton,Non-Hispanic White,75,338,Suppressed,Suppressed,35,4521
470,2019,Delaware,Non-Hispanic White,176,878,Suppressed,Suppressed,92,21901
471,2019,Fayette,Non-Hispanic White,76,171,Suppressed,Suppressed,17,3798
472,2019,Grant,Non-Hispanic White,171,607,Suppressed,Suppressed,48,10896
473,2019,Greene,Non-Hispanic White,Suppressed,313,Suppressed,Suppressed,34,5002
474,2019,Lake,Non-Hispanic White,706,2397,Suppressed,15,171,43314
475,2019,Ripley,Non-Hispanic White,66,328,Suppressed,Suppressed,Suppressed,4701
476,2019,Wabash,Non-Hispanic White,88,303,Suppressed,Suppressed,Suppressed,5095
477,2019,Whitley,Non-Hispanic White,107,353,Suppressed,Suppressed,27,5488
478,2014,Crawford,All,39,135,Suppressed,Suppressed,20,1803
479,2014,Grant,All,205,747,Suppressed,11,71,13669
480,2014,Henry,All,120,483,Suppressed,6,49,7989
481,2015,Adams,All,373,662,Suppressed,Suppressed,52,6089
482,2015,Clark,All,424,1487,Suppressed,15,137,22559
483,2015,Fayette,All,59,248,Suppressed,6,35,4035
484,2015,Floyd,All,191,909,Suppressed,Suppressed,83,14771
485,2015,Jay,All,124,306,Suppressed,Suppressed,31,3733
486,2015,Pulaski,All,46,135,Suppressed,Suppressed,12,2114
487,2015,Whitley,All,117,398,Suppressed,Suppressed,36,5781
488,2016,Boone,All,121,827,Suppressed,6,73,12118
489,2016,Decatur,All,100,382,Suppressed,Suppressed,26,4842
490,2016,Lake,All,1703,5649,5,49,604,93532
491,2016,LaPorte,All,593,1310,Suppressed,12,128,18515
492,2016,Martin,All,28,120,Suppressed,Suppressed,19,1674
493,2016,Orange,All,77,236,Suppressed,Suppressed,21,3312
494,2016,Ripley,All,75,348,Suppressed,Suppressed,28,5102
495,2016,Union,All,28,70,Suppressed,Suppressed,Suppressed,1216
496,2017,Brown,All,37,120,Suppressed,Suppressed,Suppressed,2208
497,2017,Clark,All,414,1478,6,13,141,22525
498,2017,Clay,All,99,317,Suppressed,Suppressed,27,4652
499,2017,Decatur,All,87,321,Suppressed,Suppressed,24,4784
500,2017,Franklin,All,93,281,Suppressed,Suppressed,23,3826
501,2017,Jackson,All,204,593,Suppressed,Suppressed,54,7922
502,2017,Jay,All,102,288,Suppressed,Suppressed,19,3580
503,2017,Johnson,All,415,1821,Suppressed,12,162,30472
504,2017,Lagrange,All,423,753,Suppressed,6,58,7185
505,2017,Lawrence,All,136,481,Suppressed,Suppressed,50,7706
506,2017,Madison,All,309,1401,Suppressed,11,164,23223
507,2017,Miami,All,110,394,Suppressed,Suppressed,35,5712
508,2017,Switzerland,All,46,113,Suppressed,Suppressed,10,1752
509,2018,Allen,All,2352,5245,Suppressed,34,496,74906
510,2018,Daviess,All,226,574,Suppressed,5,50,5873
511,2018,Lawrence,All,145,527,Suppressed,Suppressed,53,7705
512,2018,Ripley,All,132,389,Suppressed,Suppressed,35,5043
513,2018,Tipton,All,26,149,Suppressed,Suppressed,15,2448
514,2019,Benton,All,34,109,Suppressed,Suppressed,12,1495
515,2019,Fayette,All,101,245,Suppressed,Suppressed,22,3998
516,2019,Franklin,All,53,237,Suppressed,Suppressed,34,3805
517,2019,Huntington,All,88,389,Suppressed,Suppressed,46,6665
518,2019,LaPorte,All,499,1175,Suppressed,11,122,18181
519,2019,Miami,All,130,407,Suppressed,Suppressed,43,5582
520,2019,Montgomery,All,100,451,Suppressed,Suppressed,49,6380
521,2019,Ripley,All,85,382,Suppressed,Suppressed,25,4955
522,2019,Rush,All,38,201,Suppressed,Suppressed,18,2896
523,2019,Switzerland,All,42,110,Suppressed,Suppressed,Suppressed,1784
524,2019,Wells,All,120,335,Suppressed,Suppressed,30,4865
525,2014,Carroll,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,15
526,2014,Decatur,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,22
527,2014,Hendricks,Non-Hispanic Black,32,82,Suppressed,Suppressed,12,1855
528,2014,Jennings,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,30
529,2014,Kosciusko,Non-Hispanic Black,Suppressed,13,Suppressed,Suppressed,Suppressed,141
530,2014,Lake,Non-Hispanic Black,689,1812,Suppressed,24,215,25784
531,2014,LaPorte,Non-Hispanic Black,126,192,Suppressed,Suppressed,28,2050
532,2014,Porter,Non-Hispanic Black,27,72,Suppressed,Suppressed,Suppressed,1484
533,2014,Sullivan,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,16
534,2014,Vanderburgh,Non-Hispanic Black,127,286,Suppressed,Suppressed,59,3620
535,2014,Wabash,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,76
536,2014,Warrick,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,151
537,2015,Fulton,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,21
538,2015,Miami,Non-Hispanic Black,Suppressed,11,Suppressed,Suppressed,Suppressed,104
539,2015,Newton,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,14
540,2015,Sullivan,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,15
541,2015,Warren,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,6
542,2015,Warrick,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,162
543,2015,White,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,16
544,2016,Cass,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,82
545,2016,Elkhart,Non-Hispanic Black,110,239,Suppressed,6,Suppressed,2435
546,2016,Fayette,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,42
547,2016,Grant,Non-Hispanic Black,26,78,Suppressed,Suppressed,10,890
548,2016,Jefferson,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,190
549,2016,Madison,Non-Hispanic Black,49,137,Suppressed,Suppressed,23,1946
550,2016,Montgomery,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,47
551,2016,St. Joseph,Non-Hispanic Black,344,736,Suppressed,14,101,7744
552,2016,Vigo,Non-Hispanic Black,34,93,Suppressed,Suppressed,Suppressed,1539
553,2017,Clark,Non-Hispanic Black,53,124,Suppressed,Suppressed,Suppressed,1880
554,2017,De Kalb,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,28
555,2017,Harrison,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,29
556,2017,Pike,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,10
557,2018,Franklin,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,17
558,2018,Fulton,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,18
559,2018,Hendricks,Non-Hispanic Black,65,155,Suppressed,Suppressed,16,2468
560,2018,Jackson,Non-Hispanic Black,Suppressed,13,Suppressed,Suppressed,Suppressed,75
561,2018,Miami,Non-Hispanic Black,Suppressed,17,Suppressed,Suppressed,Suppressed,107
562,2018,Montgomery,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,45
563,2018,Newton,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,11
564,2018,Randolph,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,30
565,2018,Sullivan,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,16
566,2018,White,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,17
567,2019,Bartholomew,Non-Hispanic Black,Suppressed,41,Suppressed,Suppressed,Suppressed,334
568,2019,Blackford,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,9
569,2019,Cass,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,91
570,2019,Clinton,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,30
571,2019,Crawford,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,5
572,2019,Franklin,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,16
573,2019,Jennings,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,33
574,2019,LaPorte,Non-Hispanic Black,125,195,Suppressed,5,27,2053
575,2019,Monroe,Non-Hispanic Black,19,62,Suppressed,Suppressed,Suppressed,1695
576,2019,Steuben,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,47
577,2014,Adams,Hispanic,Suppressed,23,Suppressed,Suppressed,Suppressed,314
578,2014,Henry,Hispanic,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,129
579,2014,Jasper,Hispanic,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,447
580,2014,Noble,Hispanic,Suppressed,86,Suppressed,Suppressed,Suppressed,1068
581,2014,Orange,Hispanic,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,55
582,2014,Owen,Hispanic,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,66
583,2014,Pulaski,Hispanic,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,94
584,2014,Starke,Hispanic,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,173
585,2014,Wayne,Hispanic,13,24,Suppressed,Suppressed,Suppressed,369
586,2015,De Kalb,Hispanic,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,275
587,2015,Greene,Hispanic,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,100
588,2015,Jennings,Hispanic,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,138
589,2015,Madison,Hispanic,Suppressed,74,Suppressed,Suppressed,Suppressed,1020
590,2015,Martin,Hispanic,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,23
591,2015,Noble,Hispanic,Suppressed,93,Suppressed,Suppressed,Suppressed,1090
592,2015,Pike,Hispanic,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,41
593,2015,Warren,Hispanic,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,27
594,2016,Bartholomew,Hispanic,41,95,Suppressed,Suppressed,Suppressed,1086
595,2016,De Kalb,Hispanic,Suppressed,14,Suppressed,Suppressed,Suppressed,275
596,2016,Delaware,Hispanic,Suppressed,17,Suppressed,Suppressed,Suppressed,730
597,2016,Greene,Hispanic,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,91
598,2016,Howard,Hispanic,Suppressed,26,Suppressed,Suppressed,Suppressed,574
599,2016,Jasper,Hispanic,Suppressed,45,Suppressed,Suppressed,Suppressed,506
600,2016,Parke,Hispanic,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,58
601,2016,Porter,Hispanic,45,142,Suppressed,Suppressed,Suppressed,3982
602,2016,Starke,Hispanic,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,171
603,2017,Franklin,Hispanic,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,39
604,2017,Grant,Hispanic,Suppressed,34,Suppressed,Suppressed,Suppressed,619
605,2017,Greene,Hispanic,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,102
606,2017,Orange,Hispanic,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,80
607,2017,Posey,Hispanic,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,56
608,2017,Randolph,Hispanic,10,19,Suppressed,Suppressed,Suppressed,169
609,2017,Wabash,Hispanic,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,187
610,2018,Daviess,Hispanic,Suppressed,42,Suppressed,Suppressed,Suppressed,337
611,2018,Morgan,Hispanic,Suppressed,17,Suppressed,Suppressed,Suppressed,233
612,2018,Putnam,Hispanic,Suppressed,11,Suppressed,Suppressed,Suppressed,170
613,2018,Ripley,Hispanic,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,114
614,2018,Wells,Hispanic,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,188
615,2018,White,Hispanic,13,Suppressed,Suppressed,Suppressed,Suppressed,433
616,2018,Whitley,Hispanic,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,177
617,2019,Blackford,Hispanic,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,54
618,2019,Dearborn,Hispanic,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,133
619,2019,Jackson,Hispanic,99,126,Suppressed,Suppressed,14,647
620,2019,Scott,Hispanic,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,109
621,2019,Wabash,Hispanic,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,180
622,2019,Warren,Hispanic,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,51
623,2019,White,Hispanic,Suppressed,54,Suppressed,Suppressed,Suppressed,455
624,2014,Fountain,Non-Hispanic White,58,170,Suppressed,Suppressed,12,2652
625,2014,Franklin,Non-Hispanic White,Suppressed,245,Suppressed,Suppressed,22,3837
626,2014,Harrison,Non-Hispanic White,Suppressed,437,Suppressed,Suppressed,Suppressed,6667
627,2014,Monroe,Non-Hispanic White,192,1088,Suppressed,Suppressed,107,31346
628,2014,Noble,Non-Hispanic White,203,537,Suppressed,Suppressed,47,7409
629,2014,Orange,Non-Hispanic White,Suppressed,208,Suppressed,Suppressed,Suppressed,3280
630,2014,Warren,Non-Hispanic White,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,1302
631,2015,Allen,Non-Hispanic White,1470,3685,Suppressed,23,325,52664
632,2015,Dearborn,Non-Hispanic White,115,516,Suppressed,Suppressed,54,8318
633,2015,Grant,Non-Hispanic White,164,634,Suppressed,6,71,11507
634,2015,Greene,Non-Hispanic White,Suppressed,328,Suppressed,Suppressed,Suppressed,5256
635,2015,Jasper,Non-Hispanic White,101,349,Suppressed,Suppressed,36,5491
636,2015,Kosciusko,Non-Hispanic White,524,902,Suppressed,Suppressed,66,12667
637,2015,Martin,Non-Hispanic White,28,Suppressed,Suppressed,Suppressed,16,1640
638,2015,Montgomery,Non-Hispanic White,121,420,Suppressed,Suppressed,40,6004
