COUNTY,FEMALE_COUNT,MALE_COUNT,18-22_COUNT,23-27_COUNT,28-32_COUNT,33-37_COUNT,38-42_COUNT,43-47_COUNT,48-52_COUNT,53-57_COUNT,58-62_COUNT,MARRIED_COUNT,SEPARATED_COUNT,DIVORCED_COUNT,SINGLE_COUNT,WIDOWED_COUNT,BLACK_COUNT,WHITE_COUNT,CITIZEN_COUNT,NO_FORMAL_ED_COUNT,NO_HS_DIPLOMA_COUNT,HS_DIPLOMA_COUNT,ATTENDING_SCHOOL_COUNT,QUESTION_NUM,QUESTION_LONG_DESC,QUESTION_SHORT_DESC,QUESTION_COUNT,COUNTY_COUNT,ETL_RUN_TIMESTAMP
Huntington ,258,103,48,57,59,59,33,32,29,,,73,46,67,166,,,333,359,22,48,81,36,3,"Are you worried that in the next 2 months, you may not have stable housing?",Fear of not having stable housing next 2 mos.?,361,1623,2021.03.28 22:00:05
Jackson ,448,152,58,95,119,101,72,62,29,30,,114,71,122,282,,24,527,585,27,79,107,112,3,"Are you worried that in the next 2 months, you may not have stable housing?",Fear of not having stable housing next 2 mos.?,600,2041,2021.03.28 22:00:05
Jasper ,246,71,31,53,59,55,38,24,,,,71,36,51,146,,,294,317,,48,83,24,3,"Are you worried that in the next 2 months, you may not have stable housing?",Fear of not having stable housing next 2 mos.?,317,1254,2021.03.28 22:00:05
Jay ,168,57,30,37,35,22,29,,,,,32,23,40,120,,,204,225,,27,40,25,3,"Are you worried that in the next 2 months, you may not have stable housing?",Fear of not having stable housing next 2 mos.?,225,968,2021.03.28 22:00:05
Jefferson ,368,148,45,95,70,78,79,57,32,23,,87,63,88,265,,,471,505,,43,92,98,3,"Are you worried that in the next 2 months, you may not have stable housing?",Fear of not having stable housing next 2 mos.?,516,1739,2021.03.28 22:00:05
Jennings ,317,97,38,63,81,58,51,32,29,25,,88,40,112,164,,,388,403,,58,36,89,3,"Are you worried that in the next 2 months, you may not have stable housing?",Fear of not having stable housing next 2 mos.?,414,1504,2021.03.28 22:00:05
Johnson ,1241,476,148,325,345,284,229,118,88,66,34,314,147,284,907,26,115,1468,1692,196,401,452,156,3,"Are you worried that in the next 2 months, you may not have stable housing?",Fear of not having stable housing next 2 mos.?,1717,6676,2021.03.28 22:00:05
Knox ,442,131,84,132,98,78,74,38,25,,,91,62,102,299,,25,513,571,36,147,176,45,3,"Are you worried that in the next 2 months, you may not have stable housing?",Fear of not having stable housing next 2 mos.?,573,2640,2021.03.28 22:00:05
Kosciusko ,695,240,93,160,216,143,114,68,45,45,,184,100,155,466,,24,799,919,67,183,179,89,3,"Are you worried that in the next 2 months, you may not have stable housing?",Fear of not having stable housing next 2 mos.?,935,3326,2021.03.28 22:00:05
Lagrange ,182,49,24,39,45,37,,26,,,,55,24,34,107,,,210,227,28,47,38,,3,"Are you worried that in the next 2 months, you may not have stable housing?",Fear of not having stable housing next 2 mos.?,231,899,2021.03.28 22:00:05
Lake ,5708,1922,823,1474,1448,1069,887,610,476,309,262,756,481,706,5459,107,3895,2249,7545,400,1581,1581,662,3,"Are you worried that in the next 2 months, you may not have stable housing?",Fear of not having stable housing next 2 mos.?,7630,28254,2021.03.28 22:00:05
Laporte ,1314,521,237,295,332,300,217,152,105,67,56,213,130,237,1191,23,428,1244,1819,124,601,193,123,3,"Are you worried that in the next 2 months, you may not have stable housing?",Fear of not having stable housing next 2 mos.?,1835,6930,2021.03.28 22:00:05
Lawrence ,423,146,55,127,113,78,55,33,31,23,,99,53,108,288,,,545,566,54,164,134,47,3,"Are you worried that in the next 2 months, you may not have stable housing?",Fear of not having stable housing next 2 mos.?,569,2604,2021.03.28 22:00:05
Madison ,1855,820,278,444,519,353,301,249,190,147,86,371,244,425,1553,47,418,2082,2662,143,428,555,299,3,"Are you worried that in the next 2 months, you may not have stable housing?",Fear of not having stable housing next 2 mos.?,2676,9301,2021.03.28 22:00:05
Marion,15398,5547,2340,4185,4350,3180,2251,1443,1026,805,520,2085,1488,1481,15144,257,10913,7973,20255,1853,6198,5033,1677,3,"Are you worried that in the next 2 months, you may not have stable housing?",Fear of not having stable housing next 2 mos.?,20947,83724,2021.03.28 22:00:05
Marshall ,330,101,34,95,95,49,51,35,,21,,83,51,78,208,,,370,424,27,97,102,26,3,"Are you worried that in the next 2 months, you may not have stable housing?",Fear of not having stable housing next 2 mos.?,431,1808,2021.03.28 22:00:05
Martin ,80,22,,27,,,,,,,,29,,,47,,,100,102,,32,,,3,"Are you worried that in the next 2 months, you may not have stable housing?",Fear of not having stable housing next 2 mos.?,102,820,2021.03.28 22:00:05
Miami ,347,136,50,95,96,73,61,33,29,,,106,50,92,222,,,441,483,26,111,53,52,3,"Are you worried that in the next 2 months, you may not have stable housing?",Fear of not having stable housing next 2 mos.?,483,1787,2021.03.28 22:00:05
Monroe ,931,451,152,221,268,222,176,95,97,59,31,224,103,226,769,,161,1120,1362,166,370,239,168,3,"Are you worried that in the next 2 months, you may not have stable housing?",Fear of not having stable housing next 2 mos.?,1382,6156,2021.03.28 22:00:05
Montgomery ,366,125,60,101,108,80,48,34,,,,109,57,74,225,,,454,487,48,114,152,31,3,"Are you worried that in the next 2 months, you may not have stable housing?",Fear of not having stable housing next 2 mos.?,491,1925,2021.03.28 22:00:05
Morgan ,656,214,89,149,181,122,107,63,49,38,26,151,83,168,430,,,825,868,76,179,264,66,3,"Are you worried that in the next 2 months, you may not have stable housing?",Fear of not having stable housing next 2 mos.?,870,3687,2021.03.28 22:00:05
Newton ,91,31,,22,31,,,,,,,28,,,60,,,108,121,,33,,,3,"Are you worried that in the next 2 months, you may not have stable housing?",Fear of not having stable housing next 2 mos.?,122,555,2021.03.28 22:00:05
Noble ,325,119,44,74,83,64,61,43,25,25,,84,40,86,222,,,381,441,28,73,65,58,3,"Are you worried that in the next 2 months, you may not have stable housing?",Fear of not having stable housing next 2 mos.?,444,1866,2021.03.28 22:00:05
Ohio ,46,,,,,,,,,,,,,,37,,0,55,59,,,,,3,"Are you worried that in the next 2 months, you may not have stable housing?",Fear of not having stable housing next 2 mos.?,60,196,2021.03.28 22:00:05
Orange ,197,71,32,53,51,46,24,,,,,57,24,50,130,,,259,267,,72,61,,3,"Are you worried that in the next 2 months, you may not have stable housing?",Fear of not having stable housing next 2 mos.?,268,1244,2021.03.28 22:00:05
Owen ,168,75,24,47,44,30,33,,,,,51,,54,109,,,237,242,22,61,65,,3,"Are you worried that in the next 2 months, you may not have stable housing?",Fear of not having stable housing next 2 mos.?,243,1148,2021.03.28 22:00:05
Parke ,101,29,,27,27,,,,,,,21,,24,63,,,124,128,,43,32,,3,"Are you worried that in the next 2 months, you may not have stable housing?",Fear of not having stable housing next 2 mos.?,130,954,2021.03.28 22:00:05
Perry ,151,53,,51,40,26,24,,,,,38,27,33,100,,,196,205,,67,48,,3,"Are you worried that in the next 2 months, you may not have stable housing?",Fear of not having stable housing next 2 mos.?,205,965,2021.03.28 22:00:05
Pike ,84,24,,29,,,,,,,,23,,,56,,,103,108,,21,,,3,"Are you worried that in the next 2 months, you may not have stable housing?",Fear of not having stable housing next 2 mos.?,108,802,2021.03.28 22:00:05
Porter ,1310,470,195,314,302,265,217,165,122,93,40,294,120,261,1035,33,204,1296,1771,141,314,387,160,3,"Are you worried that in the next 2 months, you may not have stable housing?",Fear of not having stable housing next 2 mos.?,1780,6650,2021.03.28 22:00:05
Posey ,189,57,,40,52,31,37,21,,,,47,39,48,104,,,234,245,,43,88,,3,"Are you worried that in the next 2 months, you may not have stable housing?",Fear of not having stable housing next 2 mos.?,246,983,2021.03.28 22:00:05
Pulaski ,98,40,,,21,,25,,,,,28,,23,66,,,122,137,,27,28,,3,"Are you worried that in the next 2 months, you may not have stable housing?",Fear of not having stable housing next 2 mos.?,138,571,2021.03.28 22:00:05
Putnam ,247,86,42,43,67,44,42,34,,,,76,33,58,147,,,314,332,30,111,68,25,3,"Are you worried that in the next 2 months, you may not have stable housing?",Fear of not having stable housing next 2 mos.?,333,1528,2021.03.28 22:00:05
Randolph ,210,120,29,57,68,46,46,29,,,,65,25,66,167,,,307,330,,68,50,36,3,"Are you worried that in the next 2 months, you may not have stable housing?",Fear of not having stable housing next 2 mos.?,330,1192,2021.03.28 22:00:05
Ripley ,250,87,38,55,67,44,51,29,29,,,60,32,67,166,,,325,332,,46,63,78,3,"Are you worried that in the next 2 months, you may not have stable housing?",Fear of not having stable housing next 2 mos.?,337,1194,2021.03.28 22:00:05
Rush ,142,46,,36,31,28,23,,,,,30,22,37,95,,,172,184,,,29,50,3,"Are you worried that in the next 2 months, you may not have stable housing?",Fear of not having stable housing next 2 mos.?,188,808,2021.03.28 22:00:05
Saint Joseph ,3227,1175,486,799,842,595,518,360,266,183,145,519,347,461,2928,37,1474,2350,4331,349,1108,851,346,3,"Are you worried that in the next 2 months, you may not have stable housing?",Fear of not having stable housing next 2 mos.?,4402,16834,2021.03.28 22:00:05
Scott ,332,122,49,64,88,67,58,49,25,29,,79,39,90,223,,,424,448,21,46,56,89,3,"Are you worried that in the next 2 months, you may not have stable housing?",Fear of not having stable housing next 2 mos.?,454,1600,2021.03.28 22:00:05
Shelby ,448,193,65,86,105,96,67,69,49,52,31,92,75,142,313,,,594,621,,55,121,141,3,"Are you worried that in the next 2 months, you may not have stable housing?",Fear of not having stable housing next 2 mos.?,641,2156,2021.03.28 22:00:05
Spencer ,124,40,,36,32,,,,,,,48,,28,71,,,154,162,,26,46,,3,"Are you worried that in the next 2 months, you may not have stable housing?",Fear of not having stable housing next 2 mos.?,164,804,2021.03.28 22:00:05
Starke ,201,90,30,47,52,47,28,25,,,,57,30,33,156,,,273,290,,44,73,,3,"Are you worried that in the next 2 months, you may not have stable housing?",Fear of not having stable housing next 2 mos.?,291,1250,2021.03.28 22:00:05
Steuben ,257,87,39,80,68,50,43,,,,,83,30,45,174,,,312,342,28,61,61,39,3,"Are you worried that in the next 2 months, you may not have stable housing?",Fear of not having stable housing next 2 mos.?,344,1355,2021.03.28 22:00:05
Sullivan ,176,75,27,58,46,33,29,,,,,49,,51,128,,,240,249,21,61,73,,3,"Are you worried that in the next 2 months, you may not have stable housing?",Fear of not having stable housing next 2 mos.?,251,1188,2021.03.28 22:00:05
Switzerland ,106,31,,,26,24,,,,,,22,,,84,,,130,137,,,21,,3,"Are you worried that in the next 2 months, you may not have stable housing?",Fear of not having stable housing next 2 mos.?,137,476,2021.03.28 22:00:05
Tippecanoe ,1633,526,278,497,462,292,194,142,97,66,43,309,161,255,1367,,591,1347,2118,184,586,560,191,3,"Are you worried that in the next 2 months, you may not have stable housing?",Fear of not having stable housing next 2 mos.?,2159,8689,2021.03.28 22:00:05
Tipton ,116,37,,,32,28,25,,,,,28,,27,84,,,141,153,,28,27,21,3,"Are you worried that in the next 2 months, you may not have stable housing?",Fear of not having stable housing next 2 mos.?,153,586,2021.03.28 22:00:05
Union ,61,,,21,,,,,,,,,,,35,0,,73,75,,,,,3,"Are you worried that in the next 2 months, you may not have stable housing?",Fear of not having stable housing next 2 mos.?,78,363,2021.03.28 22:00:05
Vanderburgh ,2398,1009,411,590,614,528,402,307,180,156,79,422,265,525,2084,47,730,2460,3368,255,790,917,231,3,"Are you worried that in the next 2 months, you may not have stable housing?",Fear of not having stable housing next 2 mos.?,3407,13191,2021.03.28 22:00:05
Vermillion ,142,46,25,31,41,22,,,,,,35,24,28,93,,,184,188,22,76,32,,3,"Are you worried that in the next 2 months, you may not have stable housing?",Fear of not having stable housing next 2 mos.?,188,954,2021.03.28 22:00:05
Vigo ,1394,535,258,388,362,257,208,139,121,79,41,317,143,306,1095,30,229,1607,1924,136,580,360,191,3,"Are you worried that in the next 2 months, you may not have stable housing?",Fear of not having stable housing next 2 mos.?,1929,8501,2021.03.28 22:00:05
Wabash ,198,96,30,47,58,41,35,29,21,,,52,32,66,138,,,275,292,,35,62,38,3,"Are you worried that in the next 2 months, you may not have stable housing?",Fear of not having stable housing next 2 mos.?,294,1249,2021.03.28 22:00:05
Warren ,56,,,,,,,,,,,,,,37,,,64,70,,,23,,3,"Are you worried that in the next 2 months, you may not have stable housing?",Fear of not having stable housing next 2 mos.?,70,314,2021.03.28 22:00:05
Warrick ,404,121,62,93,94,90,66,36,30,,,97,53,106,250,,25,479,525,52,106,150,31,3,"Are you worried that in the next 2 months, you may not have stable housing?",Fear of not having stable housing next 2 mos.?,525,2217,2021.03.28 22:00:05
Washington ,267,131,37,47,63,69,55,42,33,21,,98,29,87,171,,,380,396,23,39,77,57,3,"Are you worried that in the next 2 months, you may not have stable housing?",Fear of not having stable housing next 2 mos.?,398,1696,2021.03.28 22:00:05
Wayne ,829,387,170,174,182,200,129,111,94,60,49,158,102,190,727,25,98,1027,1176,54,162,161,279,3,"Are you worried that in the next 2 months, you may not have stable housing?",Fear of not having stable housing next 2 mos.?,1216,4308,2021.03.28 22:00:05
Wells ,196,48,38,52,36,30,24,,,,,51,22,54,108,,,233,243,,29,62,31,3,"Are you worried that in the next 2 months, you may not have stable housing?",Fear of not having stable housing next 2 mos.?,244,979,2021.03.28 22:00:05
White ,187,57,35,43,44,42,21,22,,,,50,,34,125,,,225,244,,37,41,,3,"Are you worried that in the next 2 months, you may not have stable housing?",Fear of not having stable housing next 2 mos.?,244,972,2021.03.28 22:00:05
Whitley ,227,70,28,62,54,49,37,,,,,57,29,55,150,,,271,297,,67,36,49,3,"Are you worried that in the next 2 months, you may not have stable housing?",Fear of not having stable housing next 2 mos.?,297,1090,2021.03.28 22:00:05
Adams ,110,25,25,37,28,,,,,,0,26,,,75,,,121,134,,,30,21,4,Do problems getting child care make it difficult for you to work or study?  (Enter N/A if you do not have children),Problems getting child care?,135,1066,2021.03.28 22:00:05
Allen ,2420,491,393,705,725,414,252,127,63,51,27,436,184,225,1989,33,943,1510,2793,174,515,472,419,4,Do problems getting child care make it difficult for you to work or study?  (Enter N/A if you do not have children),Problems getting child care?,2911,20940,2021.03.28 22:00:05
Bartholomew ,514,110,74,151,137,116,41,25,,,,126,66,79,336,,22,541,603,34,70,111,135,4,Do problems getting child care make it difficult for you to work or study?  (Enter N/A if you do not have children),Problems getting child care?,624,3837,2021.03.28 22:00:05
Benton ,40,,,,,,,,,,0,,,,24,0,0,47,49,0,,,,4,Do problems getting child care make it difficult for you to work or study?  (Enter N/A if you do not have children),Problems getting child care?,49,391,2021.03.28 22:00:05
Blackford ,78,,,22,26,,,,,,,30,,,46,,0,94,98,,,21,,4,Do problems getting child care make it difficult for you to work or study?  (Enter N/A if you do not have children),Problems getting child care?,98,701,2021.03.28 22:00:05
Boone ,185,57,28,57,42,39,24,,,,,50,24,39,119,,,212,239,28,52,58,23,4,Do problems getting child care make it difficult for you to work or study?  (Enter N/A if you do not have children),Problems getting child care?,242,1965,2021.03.28 22:00:05
Brown ,67,,,21,,,,,,0,,,,,40,,0,72,76,,,,,4,Do problems getting child care make it difficult for you to work or study?  (Enter N/A if you do not have children),Problems getting child care?,76,616,2021.03.28 22:00:05
Carroll ,96,,,28,30,,,,0,,,28,,,56,,,102,113,,,,,4,Do problems getting child care make it difficult for you to work or study?  (Enter N/A if you do not have children),Problems getting child care?,114,709,2021.03.28 22:00:05
Cass ,181,28,21,54,50,36,,,,,,39,31,26,108,,,178,203,,53,30,29,4,Do problems getting child care make it difficult for you to work or study?  (Enter N/A if you do not have children),Problems getting child care?,209,1646,2021.03.28 22:00:05
Clark ,897,185,117,261,262,181,116,42,25,21,,181,107,124,643,,179,800,1032,60,154,151,278,4,Do problems getting child care make it difficult for you to work or study?  (Enter N/A if you do not have children),Problems getting child care?,1082,6354,2021.03.28 22:00:05
Clay ,125,44,,41,28,25,,,,,,32,22,29,83,,,160,166,,48,35,,4,Do problems getting child care make it difficult for you to work or study?  (Enter N/A if you do not have children),Problems getting child care?,169,1715,2021.03.28 22:00:05
Clinton ,177,66,21,53,67,42,,,,,,49,29,28,125,,,212,233,22,78,46,,4,Do problems getting child care make it difficult for you to work or study?  (Enter N/A if you do not have children),Problems getting child care?,243,1849,2021.03.28 22:00:05
Crawford ,58,,,,,,,,,,,,,,28,0,,68,73,,21,,,4,Do problems getting child care make it difficult for you to work or study?  (Enter N/A if you do not have children),Problems getting child care?,73,668,2021.03.28 22:00:05
Daviess,119,35,,38,36,,,,,,,26,24,30,68,,,135,148,,50,30,,4,Do problems getting child care make it difficult for you to work or study?  (Enter N/A if you do not have children),Problems getting child care?,154,1434,2021.03.28 22:00:05
Dearborn ,250,44,35,69,71,45,40,,,,,49,27,38,176,,,281,289,,34,,72,4,Do problems getting child care make it difficult for you to work or study?  (Enter N/A if you do not have children),Problems getting child care?,294,1806,2021.03.28 22:00:05
Decatur ,166,36,24,47,52,32,,,,,0,43,,33,106,,,192,199,,,25,60,4,Do problems getting child care make it difficult for you to work or study?  (Enter N/A if you do not have children),Problems getting child care?,202,1324,2021.03.28 22:00:05
Dekalb ,201,54,31,67,60,40,,,,,,59,,27,144,,,245,255,,52,27,29,4,Do problems getting child care make it difficult for you to work or study?  (Enter N/A if you do not have children),Problems getting child care?,255,1830,2021.03.28 22:00:05
Delaware ,759,188,108,218,201,148,121,43,31,,,146,111,123,543,,153,739,943,43,159,196,149,4,Do problems getting child care make it difficult for you to work or study?  (Enter N/A if you do not have children),Problems getting child care?,947,7719,2021.03.28 22:00:05
Dubois ,112,34,,33,35,,,,,,,24,,30,76,,,121,139,22,35,30,,4,Do problems getting child care make it difficult for you to work or study?  (Enter N/A if you do not have children),Problems getting child care?,146,1276,2021.03.28 22:00:05
Elkhart ,1218,281,210,293,356,203,136,75,51,37,33,209,141,149,931,30,299,928,1448,144,365,299,105,4,Do problems getting child care make it difficult for you to work or study?  (Enter N/A if you do not have children),Problems getting child care?,1499,11011,2021.03.28 22:00:05
Fayette ,181,49,33,47,53,43,26,,,,,48,21,37,120,,,220,217,,25,22,66,4,Do problems getting child care make it difficult for you to work or study?  (Enter N/A if you do not have children),Problems getting child care?,230,1584,2021.03.28 22:00:05
Floyd ,530,97,77,123,152,126,69,26,,,,99,56,66,392,,123,473,611,,67,123,151,4,Do problems getting child care make it difficult for you to work or study?  (Enter N/A if you do not have children),Problems getting child care?,627,3606,2021.03.28 22:00:05
Fountain ,77,,,22,24,,,,,,,,,,52,,,93,95,,,22,,4,Do problems getting child care make it difficult for you to work or study?  (Enter N/A if you do not have children),Problems getting child care?,97,873,2021.03.28 22:00:05
Franklin ,128,26,,36,41,21,,,,,,40,,,76,,,142,152,,,,48,4,Do problems getting child care make it difficult for you to work or study?  (Enter N/A if you do not have children),Problems getting child care?,154,839,2021.03.28 22:00:05
Fulton ,108,29,,35,32,,,,,,,41,,,71,,0,134,137,,27,26,,4,Do problems getting child care make it difficult for you to work or study?  (Enter N/A if you do not have children),Problems getting child care?,137,1026,2021.03.28 22:00:05
Gibson ,156,54,25,45,39,29,23,,,,,44,29,39,90,,,188,210,33,36,59,,4,Do problems getting child care make it difficult for you to work or study?  (Enter N/A if you do not have children),Problems getting child care?,210,1683,2021.03.28 22:00:05
Grant ,423,113,72,137,115,75,39,26,,,,90,49,81,305,,70,432,535,29,81,102,75,4,Do problems getting child care make it difficult for you to work or study?  (Enter N/A if you do not have children),Problems getting child care?,536,4373,2021.03.28 22:00:05
Greene ,157,43,30,47,36,32,,,,,,60,,33,85,,,196,200,,77,44,,4,Do problems getting child care make it difficult for you to work or study?  (Enter N/A if you do not have children),Problems getting child care?,200,1717,2021.03.28 22:00:05
Hamilton ,520,136,67,130,153,92,74,43,24,,,148,49,77,354,,93,451,619,77,91,159,57,4,Do problems getting child care make it difficult for you to work or study?  (Enter N/A if you do not have children),Problems getting child care?,657,6142,2021.03.28 22:00:05
Hancock ,257,69,33,79,66,57,44,,,,,71,32,45,172,,,292,317,22,26,60,78,4,Do problems getting child care make it difficult for you to work or study?  (Enter N/A if you do not have children),Problems getting child care?,326,2397,2021.03.28 22:00:05
Harrison ,210,53,24,53,61,54,34,,,,,71,22,49,111,,,250,261,,45,26,50,4,Do problems getting child care make it difficult for you to work or study?  (Enter N/A if you do not have children),Problems getting child care?,263,1680,2021.03.28 22:00:05
Hendricks ,456,107,60,123,108,102,46,31,22,,,108,48,79,294,,93,404,541,92,133,99,49,4,Do problems getting child care make it difficult for you to work or study?  (Enter N/A if you do not have children),Problems getting child care?,563,4917,2021.03.28 22:00:05
Henry ,336,77,42,94,124,69,28,,,,,79,42,55,228,,,391,402,,55,60,100,4,Do problems getting child care make it difficult for you to work or study?  (Enter N/A if you do not have children),Problems getting child care?,413,2744,2021.03.28 22:00:05
Howard ,619,148,94,193,160,128,69,30,26,22,,132,74,75,463,,148,578,765,49,163,147,126,4,Do problems getting child care make it difficult for you to work or study?  (Enter N/A if you do not have children),Problems getting child care?,767,5617,2021.03.28 22:00:05
Huntington ,152,36,29,40,37,30,,,,,,46,23,32,81,,,177,188,,38,32,21,4,Do problems getting child care make it difficult for you to work or study?  (Enter N/A if you do not have children),Problems getting child care?,188,1623,2021.03.28 22:00:05
Jackson ,275,42,28,85,79,57,27,,,,,61,30,49,165,,,284,304,,34,52,73,4,Do problems getting child care make it difficult for you to work or study?  (Enter N/A if you do not have children),Problems getting child care?,317,2041,2021.03.28 22:00:05
Jasper ,131,29,,45,41,25,,,,,,41,,,81,,,149,159,,,42,,4,Do problems getting child care make it difficult for you to work or study?  (Enter N/A if you do not have children),Problems getting child care?,160,1254,2021.03.28 22:00:05
Jay ,99,25,,27,29,,,,,,,22,,,63,,,110,124,,25,,,4,Do problems getting child care make it difficult for you to work or study?  (Enter N/A if you do not have children),Problems getting child care?,124,968,2021.03.28 22:00:05
Jefferson ,215,53,36,63,63,42,23,,,,,40,29,36,155,,,252,263,,26,52,51,4,Do problems getting child care make it difficult for you to work or study?  (Enter N/A if you do not have children),Problems getting child care?,268,1739,2021.03.28 22:00:05
Jennings ,199,32,,62,73,29,22,,,,,55,27,33,112,,,218,226,,42,23,59,4,Do problems getting child care make it difficult for you to work or study?  (Enter N/A if you do not have children),Problems getting child care?,231,1504,2021.03.28 22:00:05
Johnson ,631,205,97,190,188,122,95,46,26,,,150,73,120,468,,55,705,812,95,191,191,76,4,Do problems getting child care make it difficult for you to work or study?  (Enter N/A if you do not have children),Problems getting child care?,836,6676,2021.03.28 22:00:05
Knox ,235,71,41,69,57,48,27,,,,,58,31,51,154,,,278,305,24,81,79,22,4,Do problems getting child care make it difficult for you to work or study?  (Enter N/A if you do not have children),Problems getting child care?,306,2640,2021.03.28 22:00:05
Kosciusko ,388,93,48,103,138,77,55,,,,,108,53,70,234,,,404,470,38,97,86,51,4,Do problems getting child care make it difficult for you to work or study?  (Enter N/A if you do not have children),Problems getting child care?,481,3326,2021.03.28 22:00:05
Lagrange ,72,,,24,,,,,,,,21,,,38,,0,79,88,,,,,4,Do problems getting child care make it difficult for you to work or study?  (Enter N/A if you do not have children),Problems getting child care?,92,899,2021.03.28 22:00:05
Lake ,2839,635,407,860,774,530,341,181,110,69,62,392,216,250,2512,43,1708,1007,3415,184,731,689,323,4,Do problems getting child care make it difficult for you to work or study?  (Enter N/A if you do not have children),Problems getting child care?,3474,28254,2021.03.28 22:00:05
Laporte ,670,181,127,177,199,119,71,53,28,25,,111,56,103,544,,204,574,844,53,294,72,64,4,Do problems getting child care make it difficult for you to work or study?  (Enter N/A if you do not have children),Problems getting child care?,851,6930,2021.03.28 22:00:05
Lawrence ,219,66,31,68,69,44,24,,,,,58,35,37,147,,,271,285,33,76,41,,4,Do problems getting child care make it difficult for you to work or study?  (Enter N/A if you do not have children),Problems getting child care?,285,2604,2021.03.28 22:00:05
Madison ,1008,255,144,316,321,173,97,67,45,22,,224,101,141,764,,187,991,1254,82,202,255,167,4,Do problems getting child care make it difficult for you to work or study?  (Enter N/A if you do not have children),Problems getting child care?,1263,9301,2021.03.28 22:00:05
Marion,7774,2408,1125,2243,2312,1499,946,537,387,316,268,1174,655,671,7307,136,5241,3670,9528,1119,3185,2242,842,4,Do problems getting child care make it difficult for you to work or study?  (Enter N/A if you do not have children),Problems getting child care?,10183,83724,2021.03.28 22:00:05
Marshall ,150,39,,52,54,,,,,,,49,24,22,86,,0,162,187,,38,37,,4,Do problems getting child care make it difficult for you to work or study?  (Enter N/A if you do not have children),Problems getting child care?,189,1808,2021.03.28 22:00:05
Martin ,52,,,,,,,,0,,,,,,29,,,57,58,,,,,4,Do problems getting child care make it difficult for you to work or study?  (Enter N/A if you do not have children),Problems getting child care?,60,820,2021.03.28 22:00:05
Miami ,207,51,23,74,54,51,23,,,,,66,34,47,106,,,241,258,,52,21,40,4,Do problems getting child care make it difficult for you to work or study?  (Enter N/A if you do not have children),Problems getting child care?,258,1787,2021.03.28 22:00:05
Monroe ,541,179,88,151,136,117,86,42,28,,,142,52,107,388,,80,593,704,89,190,129,70,4,Do problems getting child care make it difficult for you to work or study?  (Enter N/A if you do not have children),Problems getting child care?,720,6156,2021.03.28 22:00:05
Montgomery ,176,35,30,42,54,31,21,,,,,53,,40,101,,,191,209,,57,48,,4,Do problems getting child care make it difficult for you to work or study?  (Enter N/A if you do not have children),Problems getting child care?,211,1925,2021.03.28 22:00:05
Morgan ,332,104,43,81,102,53,48,26,22,,,79,38,76,219,,,416,435,36,99,124,34,4,Do problems getting child care make it difficult for you to work or study?  (Enter N/A if you do not have children),Problems getting child care?,436,3687,2021.03.28 22:00:05
Newton ,62,,,,,,,,,0,,,,,45,,,69,77,,,,,4,Do problems getting child care make it difficult for you to work or study?  (Enter N/A if you do not have children),Problems getting child care?,78,555,2021.03.28 22:00:05
Noble ,186,41,27,54,60,33,22,,,,,53,,34,116,,,185,221,,37,28,34,4,Do problems getting child care make it difficult for you to work or study?  (Enter N/A if you do not have children),Problems getting child care?,227,1866,2021.03.28 22:00:05
Ohio ,30,,,,,,,0,,,0,,,,24,0,0,31,33,,,,,4,Do problems getting child care make it difficult for you to work or study?  (Enter N/A if you do not have children),Problems getting child care?,34,196,2021.03.28 22:00:05
Orange ,116,44,23,44,27,,,,,,,37,,22,77,,,155,160,,44,25,,4,Do problems getting child care make it difficult for you to work or study?  (Enter N/A if you do not have children),Problems getting child care?,160,1244,2021.03.28 22:00:05
Owen ,103,27,,23,24,22,,,,,,45,,,54,,0,128,129,,35,32,,4,Do problems getting child care make it difficult for you to work or study?  (Enter N/A if you do not have children),Problems getting child care?,130,1148,2021.03.28 22:00:05
Parke ,48,24,,,,,,,,0,,,,,35,,0,66,71,,30,,,4,Do problems getting child care make it difficult for you to work or study?  (Enter N/A if you do not have children),Problems getting child care?,72,954,2021.03.28 22:00:05
Perry ,79,21,,26,,,,,,,,30,,,45,,,92,100,,30,,,4,Do problems getting child care make it difficult for you to work or study?  (Enter N/A if you do not have children),Problems getting child care?,100,965,2021.03.28 22:00:05
Pike ,45,,,,,,,,,,,,,,25,,,56,57,,,,,4,Do problems getting child care make it difficult for you to work or study?  (Enter N/A if you do not have children),Problems getting child care?,58,802,2021.03.28 22:00:05
Porter ,664,166,87,190,179,128,99,48,24,29,,164,54,98,479,,112,584,818,60,153,164,81,4,Do problems getting child care make it difficult for you to work or study?  (Enter N/A if you do not have children),Problems getting child care?,830,6650,2021.03.28 22:00:05
Posey ,75,26,,25,22,,,,,,,23,,,50,,,94,100,,26,29,,4,Do problems getting child care make it difficult for you to work or study?  (Enter N/A if you do not have children),Problems getting child care?,101,983,2021.03.28 22:00:05
Pulaski ,46,,,,,,,,0,,,,,,29,,0,55,60,,,,,4,Do problems getting child care make it difficult for you to work or study?  (Enter N/A if you do not have children),Problems getting child care?,60,571,2021.03.28 22:00:05
Putnam ,99,27,,21,29,,,,,,,40,,,52,,,122,126,,36,28,,4,Do problems getting child care make it difficult for you to work or study?  (Enter N/A if you do not have children),Problems getting child care?,126,1528,2021.03.28 22:00:05
